State,FY,COLI (Cost of Living) Adjustment,EMI (Enrollment Mix) Adjustment,HECA (Inflation) Adjustment,CPI (Inflation) Adjustment,Total State Support,Total State and Local Support,Total Federal Stimulus,Total State and Local Support Excluding Federal Stimulus,Adjustments to State Support,Research - Agriculture - Medical (RAM),Total Independent Support,Total Financial Aid,Education Appropriations,Public Federal Stimulus,Education Appropriations Excluding Federal Stimulus,General Public Operations,State Public Financial Aid as a Percent of Education Appropriations,Net Tuition and Fee Revenue,Student Share,Total Education Revenue,Total Education Revenue Excluding Federal Stimulus,Net FTE Enrollment,State Tax Appropriations,Non-Tax Support,Local Appropriations,Federal Stimulus Used for Financial Aid,Agency Funding,Independent Operating,Non-Credit,State Public Financial Aid,Independent Financial Aid,Out-of-State Financial Aid,Agriculture and Extension Appropriations,Hospital Appropriations,Medical School Appropriations,Research Appropriations,Gross Tuition and Fee Revenue,Medical Tuition and Fee Revenue,Institutional Discounts and Waivers,Tuition and Fees Used for Debt Service,Gross FTE Enrollment,Medical FTE Enrollment
Alabama,2024,0.876645,1.020407,1.0,1.0,2580519542,2583355542,0.0,2583355542,0.0,395315305,38304168.0,70383912.0,2132260233,0.0,2132260233,2076902315.0,0.0259620834001644,2800234896,0.585286889256434,4784380015,4784380015,200949,2580519542.0,0.0,2836000,0.0,19111383.0,26789354.0,13964656.0,55357918.0,11514814.0,0.0,93040953.0,0.0,287374043.0,14900309.0,3120112077.0,264519263.0,0.0,148115114.0,211546.0,10597.0
Alaska,2024,1.240699,0.97226,1.0,1.0,334933672,335686672,0.0,335686672,-15805138.0,22867381,1642220.0,18221050.0,306036971,0.0,306036971,294598241.0,0.0373769546947973,75712719,0.198330793667442,381749690,381749690,12684,350738810.0,0.0,753000,0.0,0.0,0.0,0.0,11438730.0,1642220.0,5140100.0,3627400.0,2200000.0,796248.0,16243733.0,107699379.0,0.0,20547930.0,0.0,12684.0,0.0
Arizona,2024,0.964115,1.016214,1.0,1.0,1384169700,2404332300,20151200.0,2384181100,191822600.0,250165600,183100.0,97379000.0,2149916600,20151200.0,2129765400,2036636500.0,0.0433174477558804,3261525300,0.619910578854,5261283500,5241132300,327169,1166225200.0,5970700.0,1020162600,0.0,3165600.0,0.0,0.0,93128900.0,183100.0,4067000.0,42767100.0,0.0,80397700.0,127000800.0,4896074600.0,38313300.0,1503107100.0,150158400.0,328127.0,958.0
Arkansas,2024,0.851381,1.004731,1.0,1.0,1084834250,1125168819,0.0,1125168819,9691807.0,242840558,10038144.0,118375026.0,864871251,0.0,864871251,763953235.0,0.116685594397217,795313325,0.54485978220136,1459666048,1459666048,106724,975922020.0,99220423.0,40334569,0.0,3675217.0,0.0,0.0,100918016.0,10038144.0,6772174.0,76335030.0,0.0,112986996.0,53518532.0,1125821334.0,55644444.0,173945549.0,200518528.0,109995.0,3271.0
California,2024,1.268947,0.974561,1.0,1.0,20195827357,24289688357,0.0,24289688357,0.0,1249332000,220393485.0,2395460000.0,22819962872,0.0,22819962872,20644896357.0,0.0953142004305712,5521086344,0.194808819600195,28341049216,28341049216,1520716,19640788357.0,555039000.0,4093861000,0.0,25678000.0,0.0,0.0,2175066515.0,220393485.0,0.0,121408000.0,330902000.0,383941000.0,413081000.0,9894697859.0,108186000.0,2090359000.0,0.0,1538042.0,17326.0
Colorado,2024,1.046565,1.024068,1.0,1.0,1499488977,1623171282,0.0,1623171282,0.0,198859998,12781039.0,280493072.0,1411530245,0.0,1411530245,1143818212.0,0.189660854911402,2382674199,0.627977283292645,3794204444,3794204444,181532,1442347984.0,57140993.0,123682305,0.0,8406384.0,0.0,0.0,267712033.0,12781039.0,0.0,44003220.0,0.0,154856778.0,0.0,2786830212.0,136443980.0,0.0,0.0,188884.0,7352.0
Connecticut,2024,1.187963,1.001642,1.0,1.0,1899039593,1899039593,280900000.0,1618139593,130319325.0,366324926,7397682.0,28399555.0,1523016553,280900000.0,1242116553,1223415112.0,0.0122792105989671,1008769817,0.398441917909527,2531786370,2250886370,76077,1487820268.0,0.0,0,18000000.0,96889851.0,0.0,0.0,18701441.0,7397682.0,2300432.0,0.0,0.0,366324926.0,0.0,1027471258.0,0.0,0.0,0.0,76750.0,673.0
Delaware,2024,1.032251,1.04089,1.0,1.0,285368886,285368886,0.0,285368886,0.0,10078034,367877.0,21300552.0,274712100,0.0,274712100,253990300.0,0.075430969367567,792153510,0.748236285531958,1058694326,1058694326,37240,285368886.0,0.0,0,0.0,381200.0,0.0,0.0,20721800.0,367877.0,210875.0,3152053.0,0.0,2844700.0,4081281.0,812875310.0,0.0,0.0,8171284.0,37240.0,0.0
Florida,2024,0.953944,1.019976,1.0,1.0,7188739306,7235970515,0.0,7235970515,82660084.0,542600445,254435867.0,1080863670.0,6436061337,0.0,6436061337,5566378793.0,0.135126515808717,1393864540,0.178017590702155,7829925877,7829925877,579477,5407656110.0,1698423112.0,47231209,0.0,10405699.0,43254741.0,2872866.0,869682544.0,211181126.0,0.0,191437500.0,0.0,351162945.0,0.0,2959023474.0,159542650.0,535933740.0,0.0,585282.0,5805.0
Georgia,2024,0.88005,1.009819,1.0,1.0,4839492725,4839492725,0.0,4839492725,68361735.0,479344069,102585860.0,970858226.0,4234823524,0.0,4234823524,3357742416.0,0.207111607609933,1642943790,0.279632963667245,5875358071,5875358071,366748,3815437347.0,955693643.0,0,0.0,181814503.0,9481126.0,22066888.0,877081108.0,93104734.0,672384.0,104352057.0,44983879.0,292126958.0,37881175.0,3327491809.0,53531473.0,753935438.0,2409243.0,374560.0,7812.0
Hawaii,2024,1.403817,1.019532,1.0,1.0,873854701,873854701,132444.0,873722257,-11454620.0,142588303,0.0,9974236.0,729820972,132444.0,729688528,721159718.0,0.0116861673303628,224964212,0.237212037625431,948367605,948235161,32695,875256262.0,9920615.0,0,0.0,71180143.0,0.0,0.0,8528810.0,0.0,1445426.0,19661290.0,0.0,43494957.0,79432056.0,328067390.0,12509538.0,82064830.0,6417579.0,33176.0,481.0
Idaho,2024,0.939717,0.97697,1.0,1.0,659353335,699942942,7868772.0,692074170,22917700.0,68512700,5035045.0,24404763.0,626395197,7868772.0,618526425,599156707.0,0.0309225199886071,447493674,0.425071197653681,1052749931,1044881159,55784,628566863.0,0.0,40589607,0.0,120796700.0,0.0,0.0,19369718.0,5035045.0,0.0,36798300.0,0.0,26845500.0,4868900.0,636114915.0,0.0,169251523.0,21138940.0,55834.0,50.0
Illinois,2024,0.939411,0.987444,1.0,1.0,5722455345,6723884139,22504302.0,6701379837,0.0,192471229,280662643.0,688243260.0,6195947682,22204302.0,6173743380,5766162763.0,0.0657818041595271,2227102688,0.267663434720105,8320533921,8298329619,261644,5699951043.0,0.0,1001428794,0.0,165288035.0,0.0,54502585.0,407580617.0,280662643.0,0.0,6076501.0,96417254.0,17315840.0,72661634.0,3776289678.0,165012838.0,976593535.0,102516449.0,266819.0,5175.0
Indiana,2024,0.900031,1.007056,1.0,1.0,2028113088,2028113088,3363915.0,2024749173,0.0,290127777,112378054.0,375395683.0,1625607257,3363915.0,1622243342,1356725713.0,0.16333442647765,2633054874,0.626204302973626,4204785661,4201421746,247945,2013366976.0,11382197.0,0,1837629.0,13273893.0,2500000.0,0.0,265517629.0,109878054.0,0.0,130398856.0,0.0,145963328.0,13765593.0,3535789747.0,56072896.0,581144348.0,53876470.0,253557.0,5612.0
Iowa,2024,0.920653,1.017111,1.0,1.0,899770787,942338405,0.0,942338405,0.0,127704968,53301062.0,99778628.0,759611402,0.0,759611402,714854809.0,0.0589203807132953,1275087882,0.626671416275979,2034699284,2034699284,116188,899770787.0,0.0,42567618,0.0,764642.0,0.0,0.0,44756593.0,53301062.0,0.0,47619901.0,0.0,57238320.0,22846747.0,1409859520.0,90015045.0,0.0,0.0,117806.0,1618.0
Kansas,2024,0.924198,1.001955,1.0,1.0,1131734797,1464989253,5559850.0,1459429403,0.0,206732022,23101125.0,98915551.0,1227892804,5444250.0,1222448554,1152324799.0,0.0571090202431058,868292607,0.416261018815538,2085933027,2080488777,121103,1113627773.0,12547174.0,333254456,0.0,5080810.0,0.0,1457031.0,70123755.0,23101125.0,232500.0,50492729.0,62418993.0,56312589.0,37507711.0,1181240424.0,79935742.0,162888320.0,10252384.0,124895.0,3792.0
Kentucky,2024,0.87029,1.004377,1.0,1.0,1487539063,1524571663,30964063.0,1493607600,2310300.0,148681400,112596800.0,390083300.0,1238322008,30861808.0,1207460200,936255700.0,0.219009674582154,1204490737,0.499780014605904,2410041822,2379180014,139663,1063661400.0,390603300.0,37032600,7000000.0,15106900.0,0.0,18587200.0,271204500.0,112596800.0,6282000.0,84878500.0,10000000.0,27469900.0,26333000.0,1972605336.0,123753686.0,373156413.0,32770923.0,143482.0,3819.0
Louisiana,2024,0.91497,1.000753,1.0,1.0,1673717552,1673717552,1916078.0,1671801474,22230000.0,376094541,22822651.0,318832533.0,1272443618,1916078.0,1270527540,976874400.0,0.23077890119922,884218589,0.409994011176179,2156662207,2154746129,164921,1649571474.0,0.0,0,0.0,228624755.0,0.0,0.0,293653140.0,22822651.0,0.0,107416956.0,0.0,213414571.0,55263014.0,1595474188.0,116901473.0,300700986.0,0.0,170524.0,5603.0
Maine,2024,1.098886,1.026167,1.0,1.0,405841578,405841578,8360892.0,397480686,1289275.0,37587813,5552885.0,49879365.0,362601721,8360892.0,354240829,310013508.0,0.12197217618832,238822011,0.397094424933667,601423732,593062840,33806,388382440.0,7808971.0,0,0.0,0.0,0.0,0.0,44227321.0,5552885.0,99159.0,12261900.0,0.0,0.0,25325913.0,384243849.0,0.0,101194517.0,0.0,33806.0,0.0
Maryland,2024,1.189709,0.990881,1.0,1.0,3297657495,3793082804,0.0,3793082804,0.0,420102274,163577374.0,144076452.0,3209110186,0.0,3209110186,3091809289.0,0.0365524678808894,2120090033,0.397825179365812,5329200219,5329200219,221493,3286614922.0,11042573.0,495425309,0.0,9353603.0,137094789.0,0.0,117300897.0,26482585.0,292970.0,61811802.0,4985352.0,95035005.0,258270115.0,2426805877.0,68505723.0,120909224.0,0.0,223551.0,2058.0
Massachusetts,2024,1.243975,0.987311,1.0,1.0,2546803171,2546803171,0.0,2546803171,0.0,67434000,61275684.0,319429911.0,2416802478,0.0,2416802478,2153439260.0,0.108971759337959,1147394297,0.321922264519192,3564196775,3564196775,137084,2546803171.0,0.0,0,0.0,13310648.0,6500000.0,0.0,263363218.0,54775684.0,1291009.0,0.0,0.0,67434000.0,0.0,2139390915.0,56203862.0,672429538.0,0.0,138438.0,1354.0
Michigan,2024,0.857267,1.008582,1.0,1.0,2791042000,3487622455,15000000.0,3472622455,0.0,179774546,26298321.0,191908108.0,3281549588,15000000.0,3266549588,3100939801.0,0.0504669463492502,4810910000,0.594492928594159,8092459588,8077459588,332245,2776042000.0,0.0,696580455,0.0,0.0,0.0,0.0,165609787.0,26298321.0,0.0,71743400.0,0.0,43921450.0,64109696.0,6346768929.0,272107275.0,1098141867.0,0.0,338569.0,6324.0
Minnesota,2024,0.961356,0.989603,1.0,1.0,2059151648,2059151648,0.0,2059151648,0.0,210572720,90163899.0,243636648.0,1756616029,0.0,1756616029,1599993280.0,0.08916163032462,1635815432,0.482823907263927,3388016640,3388016640,161710,2059151648.0,0.0,0,0.0,102517000.0,3150000.0,1799000.0,156622749.0,87013899.0,0.0,60867568.0,0.0,129488578.0,20216574.0,1966068520.0,42205559.0,131424780.0,4414821.0,166313.0,4603.0
