INSTNM,STABBR,CONTROL,C150_4,MD_EARN_WNE_P10
Alabama A & M University,AL,1,0.2874,40628.0
University of Alabama at Birmingham,AL,1,0.626,54501.0
Amridge University,AL,2,0.4,37621.0
University of Alabama in Huntsville,AL,1,0.6191,61767.0
Alabama State University,AL,1,0.3018,34502.0
The University of Alabama,AL,1,0.7369,59221.0
Auburn University at Montgomery,AL,1,0.3568,44391.0
Auburn University,AL,1,0.7921,65337.0
Birmingham-Southern College,AL,2,0.6418,59481.0
Faulkner University,AL,2,0.3766,43457.0
Herzing University-Birmingham,AL,2,0.25,36909.0
Huntingdon College,AL,2,0.4694,49601.0
Heritage Christian University,AL,2,0.5,42597.0
Jacksonville State University,AL,1,0.5112,45235.0
University of West Alabama,AL,1,0.3804,44232.0
Miles College,AL,2,0.2566,32627.0
University of Mobile,AL,2,0.5551,43611.0
University of Montevallo,AL,1,0.4938,42957.0
University of North Alabama,AL,1,0.5403,45415.0
Oakwood University,AL,2,0.4891,42488.0
Samford University,AL,2,0.7988,58469.0
University of South Alabama,AL,1,0.5257,49379.0
Spring Hill College,AL,2,0.5612,51500.0
Stillman College,AL,2,0.4103,35421.0
Talladega College,AL,2,0.6497,32229.0
Troy University,AL,1,0.4684,42062.0
Tuskegee University,AL,2,0.5709,49641.0
University of Alaska Anchorage,AK,1,0.2894,51871.0
University of Alaska Fairbanks,AK,1,0.3197,48866.0
University of Alaska Southeast,AK,1,0.3097,48475.0
Alaska Pacific University,AK,2,0.4688,54271.0
Arizona State University Campus Immersion,AZ,1,0.6785,62668.0
University of Arizona,AZ,1,0.6589,59979.0
Embry-Riddle Aeronautical University-Prescott,AZ,2,0.6976,84131.0
Glendale Community College,AZ,1,0.144,43108.0
GateWay Community College,AZ,1,0.1955,46147.0
Dine College,AZ,1,0.0549,29188.0
Northern Arizona University,AZ,1,0.5686,54384.0
Prescott College,AZ,2,0.3594,42359.0
Rio Salado College,AZ,1,0.039,41015.0
Arizona Christian University,AZ,2,0.4145,51612.0
Yavapai College,AZ,1,0.3213,39890.0
University of Arkansas at Little Rock,AR,1,0.4142,45265.0
Arkansas Baptist College,AR,2,0.0798,28418.0
Lyon College,AR,2,0.5591,44232.0
University of Arkansas,AR,1,0.6997,58191.0
University of Arkansas at Pine Bluff,AR,1,0.3968,35550.0
Arkansas State University,AR,1,0.551,42617.0
Arkansas Tech University,AR,1,0.4866,41766.0
University of Arkansas at Monticello,AR,1,0.4327,36902.0
University of Central Arkansas,AR,1,0.5335,45938.0
Central Baptist College,AR,2,0.3529,46789.0
Crowley's Ridge College,AR,2,0.2609,39533.0
Harding University,AR,2,0.7094,52876.0
Henderson State University,AR,1,0.3805,43459.0
Hendrix College,AR,2,0.6923,60376.0
John Brown University,AR,2,0.6677,53907.0
Ouachita Baptist University,AR,2,0.703,51673.0
University of the Ozarks,AR,2,0.5176,44384.0
Philander Smith University,AR,2,0.3231,38427.0
Williams Baptist University,AR,2,0.3592,38484.0
Southern Arkansas University Main Campus,AR,1,0.465,42386.0
University of Arkansas-Fort Smith,AR,1,0.3696,41102.0
Antelope Valley Community College District,CA,1,0.3061,36526.0
Art Center College of Design,CA,2,0.8261,71958.0
Azusa Pacific University,CA,2,0.6442,66677.0
Bakersfield College,CA,1,0.2263,37291.0
Biola University,CA,2,0.6881,56778.0
California Baptist University,CA,2,0.5953,61504.0
California College of the Arts,CA,2,0.5872,49414.0
California Institute of Technology,CA,2,0.9316,128566.0
California Lutheran University,CA,2,0.7402,68712.0
California Polytechnic State University-San Luis Obispo,CA,1,0.8519,90768.0
